t,Surface,vessel,distance,POI
1,37.71,5.5,0,38.05
2,37.99,5.5,0,39.11
3,38.18,5.5,0,40.17
4,38.33,5.5,0,41.23
5,38.46,5.5,0,42.25
6,38.57,5.5,0,43.25
7,38.66,5.5,0,44.21
8,38.75,5.5,0,45.14
9,38.83,5.5,0,46.03
10,38.90,5.5,0,46.88
11,38.97,5.5,0,47.70
12,39.03,5.5,0,48.49
13,39.09,5.5,0,49.25
14,39.15,5.5,0,49.98
15,39.20,5.5,0,50.68
16,39.25,5.5,0,51.36
17,39.30,5.5,0,52.02
18,39.34,5.5,0,52.66
19,39.38,5.5,0,53.27
20,39.43,5.5,0,53.87
21,39.47,5.5,0,54.45
22,39.50,5.5,0,55.01
23,39.54,5.5,0,55.56
24,39.58,5.5,0,56.09
25,39.61,5.5,0,56.61
26,39.64,5.5,0,57.11
27,39.67,5.5,0,57.60
28,39.70,5.5,0,58.08
29,39.73,5.5,0,58.54
30,39.76,5.5,0,59.00
31,39.79,5.5,0,59.44
32,39.82,5.5,0,59.87
33,39.85,5.5,0,60.30
34,39.87,5.5,0,60.71
35,39.90,5.5,0,61.12
36,39.92,5.5,0,61.51
37,39.95,5.5,0,61.90
38,39.97,5.5,0,62.28
39,39.99,5.5,0,62.65
40,40.01,5.5,0,63.02
41,40.04,5.5,0,63.38
42,40.06,5.5,0,63.73
43,40.08,5.5,0,64.08
44,40.10,5.5,0,64.41
45,40.12,5.5,0,64.75
46,40.14,5.5,0,65.07
47,40.16,5.5,0,65.39
48,40.18,5.5,0,65.71
49,40.20,5.5,0,66.02
50,40.21,5.5,0,66.33
51,40.23,5.5,0,66.62
52,40.25,5.5,0,66.92
53,40.27,5.5,0,67.21
54,40.28,5.5,0,67.50
55,40.30,5.5,0,67.78
56,40.32,5.5,0,68.05
57,40.33,5.5,0,68.33
58,40.35,5.5,0,68.60
59,40.37,5.5,0,68.86
60,40.38,5.5,0,69.12
61,40.40,5.5,0,69.38
62,40.41,5.5,0,69.63
63,40.43,5.5,0,69.88
64,40.44,5.5,0,70.13
65,40.45,5.5,0,70.37
66,40.47,5.5,0,70.61
67,40.48,5.5,0,70.85
68,40.50,5.5,0,71.08
69,40.51,5.5,0,71.31
70,40.52,5.5,0,71.54
71,40.53,5.5,0,71.76
72,40.55,5.5,0,71.98
73,40.56,5.5,0,72.20
74,40.57,5.5,0,72.42
75,40.59,5.5,0,72.63
76,40.60,5.5,0,72.84
77,40.61,5.5,0,73.05
78,40.62,5.5,0,73.25
79,40.63,5.5,0,73.46
80,40.64,5.5,0,73.66
81,40.66,5.5,0,73.85
82,40.67,5.5,0,74.05
83,40.68,5.5,0,74.24
84,40.69,5.5,0,74.44
85,40.70,5.5,0,74.63
86,40.71,5.5,0,74.81
87,40.72,5.5,0,75.00
88,40.73,5.5,0,75.18
89,40.74,5.5,0,75.36
90,40.75,5.5,0,75.54
91,40.76,5.5,0,75.72
92,40.77,5.5,0,75.89
93,40.78,5.5,0,76.07
94,40.79,5.5,0,76.24
95,40.80,5.5,0,76.41
96,40.81,5.5,0,76.58
97,40.82,5.5,0,76.74
98,40.83,5.5,0,76.91
99,40.84,5.5,0,77.07
100,40.85,5.5,0,77.23
101,40.86,5.5,0,77.39
102,40.87,5.5,0,77.55
103,40.88,5.5,0,77.71
104,40.88,5.5,0,77.86
105,40.89,5.5,0,78.02
106,40.90,5.5,0,78.17
107,40.91,5.5,0,78.32
108,40.92,5.5,0,78.47
109,40.93,5.5,0,78.62
110,40.94,5.5,0,78.77
111,40.94,5.5,0,78.91
112,40.95,5.5,0,79.06
113,40.96,5.5,0,79.20
114,40.97,5.5,0,79.34
115,40.98,5.5,0,79.48
116,40.98,5.5,0,79.62
117,40.99,5.5,0,79.76
118,41.00,5.5,0,79.89
119,41.01,5.5,0,80.03
120,41.01,5.5,0,80.16
121,41.02,5.5,0,80.29
122,41.03,5.5,0,80.43
123,41.04,5.5,0,80.56
124,41.04,5.5,0,80.69
125,41.05,5.5,0,80.81
126,41.06,5.5,0,80.94
127,41.07,5.5,0,81.07
128,41.07,5.5,0,81.19
129,41.08,5.5,0,81.32
130,41.09,5.5,0,81.44
131,41.09,5.5,0,81.56
132,41.10,5.5,0,81.68
133,41.11,5.5,0,81.80
134,41.11,5.5,0,81.92
135,41.12,5.5,0,82.04
136,41.13,5.5,0,82.16
137,41.13,5.5,0,82.27
138,41.14,5.5,0,82.39
139,41.15,5.5,0,82.50
140,41.15,5.5,0,82.62
141,41.16,5.5,0,82.73
142,41.17,5.5,0,82.84
143,41.17,5.5,0,82.95
144,41.18,5.5,0,83.06
145,41.18,5.5,0,83.17
146,41.19,5.5,0,83.28
147,41.20,5.5,0,83.39
148,41.20,5.5,0,83.50
149,41.21,5.5,0,83.60
150,41.21,5.5,0,83.71
151,41.22,5.5,0,83.81
152,41.23,5.5,0,83.91
153,41.23,5.5,0,84.02
154,41.24,5.5,0,84.12
155,41.24,5.5,0,84.22
156,41.25,5.5,0,84.32
157,41.25,5.5,0,84.42
158,41.26,5.5,0,84.52
159,41.27,5.5,0,84.62
160,41.27,5.5,0,84.72
161,41.28,5.5,0,84.81
162,41.28,5.5,0,84.91
163,41.29,5.5,0,85.01
164,41.29,5.5,0,85.10
165,41.30,5.5,0,85.20
166,41.30,5.5,0,85.29
167,41.31,5.5,0,85.38
168,41.31,5.5,0,85.47
169,41.32,5.5,0,85.57
170,41.32,5.5,0,85.66
171,41.33,5.5,0,85.75
172,41.33,5.5,0,85.84
173,41.34,5.5,0,85.93
174,41.34,5.5,0,86.02
175,41.35,5.5,0,86.10
176,41.35,5.5,0,86.19
177,41.36,5.5,0,86.28
178,41.36,5.5,0,86.36
179,41.37,5.5,0,86.45
180,41.37,5.5,0,86.54
181,41.38,5.5,0,86.62
182,41.38,5.5,0,86.70
183,41.39,5.5,0,86.79
184,41.39,5.5,0,86.87
185,41.40,5.5,0,86.95
186,41.40,5.5,0,87.04
187,41.40,5.5,0,87.12
188,41.41,5.5,0,87.20
189,41.41,5.5,0,87.28
190,41.42,5.5,0,87.36
191,41.42,5.5,0,87.44
192,41.43,5.5,0,87.52
193,41.43,5.5,0,87.59
194,41.44,5.5,0,87.67
195,41.44,5.5,0,87.75
196,41.44,5.5,0,87.83
197,41.45,5.5,0,87.90
198,41.45,5.5,0,87.98
199,41.46,5.5,0,88.05
200,41.46,5.5,0,88.13
201,41.46,5.5,0,88.20
202,41.47,5.5,0,88.28
203,41.47,5.5,0,88.35
204,41.48,5.5,0,88.42
205,41.48,5.5,0,88.49
206,41.48,5.5,0,88.57
207,41.49,5.5,0,88.64
208,41.49,5.5,0,88.71
209,41.50,5.5,0,88.78
210,41.50,5.5,0,88.85
211,41.50,5.5,0,88.92
212,41.51,5.5,0,88.99
213,41.51,5.5,0,89.06
214,41.52,5.5,0,89.13
215,41.52,5.5,0,89.20
216,41.52,5.5,0,89.26
217,41.53,5.5,0,89.33
218,41.53,5.5,0,89.40
219,41.53,5.5,0,89.47
220,41.54,5.5,0,89.53
221,41.54,5.5,0,89.60
222,41.55,5.5,0,89.66
223,41.55,5.5,0,89.73
224,41.55,5.5,0,89.79
225,41.56,5.5,0,89.86
226,41.56,5.5,0,89.92
227,41.56,5.5,0,89.99
228,41.57,5.5,0,90.05
229,41.57,5.5,0,90.11
230,41.57,5.5,0,90.17
231,41.58,5.5,0,90.24
232,41.58,5.5,0,90.30
233,41.58,5.5,0,90.36
234,41.59,5.5,0,90.42
235,41.59,5.5,0,90.48
236,41.59,5.5,0,90.54
237,41.60,5.5,0,90.60
238,41.60,5.5,0,90.66
239,41.60,5.5,0,90.72
240,41.61,5.5,0,90.78
