t,Surface,vessel,distance,POI
1,38.17,4,0,38.19
2,38.6,4,0,39.4
3,38.89,4,0,40.62
4,39.12,4,0,41.85
5,39.31,4,0,43.08
6,39.47,4,0,44.28
7,39.61,4,0,45.46
8,39.74,4,0,46.61
9,39.85,4,0,47.73
10,39.96,4,0,48.82
11,40.06,4,0,49.87
12,40.15,4,0,50.89
13,40.23,4,0,51.88
14,40.31,4,0,52.84
15,40.39,4,0,53.77
16,40.46,4,0,54.67
17,40.52,4,0,55.55
18,40.59,4,0,56.4
19,40.65,4,0,57.22
20,40.71,4,0,58.02
21,40.76,4,0,58.8
22,40.82,4,0,59.56
23,40.87,4,0,60.3
24,40.92,4,0,61.02
25,40.97,4,0,61.72
26,41.01,4,0,62.4
27,41.06,4,0,63.07
28,41.1,4,0,63.72
29,41.14,4,0,64.36
30,41.18,4,0,64.98
31,41.22,4,0,65.59
32,41.26,4,0,66.18
33,41.3,4,0,66.76
34,41.34,4,0,67.33
35,41.37,4,0,67.89
36,41.41,4,0,68.44
37,41.44,4,0,68.97
38,41.47,4,0,69.5
39,41.5,4,0,70.01
40,41.54,4,0,70.52
41,41.57,4,0,71.01
42,41.6,4,0,71.5
43,41.62,4,0,71.98
44,41.65,4,0,72.45
45,41.68,4,0,72.91
46,41.71,4,0,73.36
47,41.74,4,0,73.81
48,41.76,4,0,74.24
49,41.79,4,0,74.67
50,41.81,4,0,75.1
51,41.84,4,0,75.51
52,41.86,4,0,75.92
53,41.89,4,0,76.33
54,41.91,4,0,76.73
55,41.93,4,0,77.12
56,41.96,4,0,77.5
57,41.98,4,0,77.88
58,42,4,0,78.26
59,42.02,4,0,78.63
60,42.04,4,0,78.99
61,42.07,4,0,79.35
62,42.09,4,0,79.7
63,42.11,4,0,80.05
64,42.13,4,0,80.39
65,42.15,4,0,80.73
66,42.17,4,0,81.07
67,42.18,4,0,81.4
68,42.2,4,0,81.72
69,42.22,4,0,82.05
70,42.24,4,0,82.36
71,42.26,4,0,82.68
72,42.28,4,0,82.99
73,42.29,4,0,83.29
74,42.31,4,0,83.6
75,42.33,4,0,83.89
76,42.34,4,0,84.19
77,42.36,4,0,84.48
78,42.38,4,0,84.77
79,42.39,4,0,85.05
80,42.41,4,0,85.33
81,42.43,4,0,85.61
82,42.44,4,0,85.89
83,42.46,4,0,86.16
84,42.47,4,0,86.43
85,42.49,4,0,86.69
86,42.5,4,0,86.96
87,42.52,4,0,87.22
88,42.53,4,0,87.47
89,42.55,4,0,87.73
90,42.56,4,0,87.98
1,39.76,4,1,38.54
2,40.54,4,1,40.12
3,41.03,4,1,41.74
4,41.39,4,1,43.37
5,41.68,4,1,44.99
6,41.92,4,1,46.6
7,42.13,4,1,48.16
8,42.31,4,1,49.68
9,42.47,4,1,51.15
10,42.61,4,1,52.57
11,42.74,4,1,53.94
12,42.86,4,1,55.26
13,42.98,4,1,56.52
14,43.08,4,1,57.75
15,43.18,4,1,58.93
16,43.27,4,1,60.06
17,43.35,4,1,61.16
18,43.43,4,1,62.22
19,43.51,4,1,63.25
20,43.58,4,1,64.24
21,43.65,4,1,65.2
22,43.72,4,1,66.13
23,43.78,4,1,67.03
24,43.84,4,1,67.91
25,43.9,4,1,68.76
26,43.96,4,1,69.59
27,44.01,4,1,70.4
28,44.06,4,1,71.18
29,44.11,4,1,71.94
30,44.16,4,1,72.69
31,44.21,4,1,73.41
32,44.26,4,1,74.12
33,44.3,4,1,74.81
34,44.34,4,1,75.49
35,44.38,4,1,76.14
36,44.43,4,1,76.79
37,44.46,4,1,77.42
38,44.5,4,1,78.03
39,44.54,4,1,78.64
40,44.58,4,1,79.23
41,44.61,4,1,79.8
42,44.65,4,1,80.37
43,44.68,4,1,80.92
44,44.71,4,1,81.47
45,44.75,4,1,82
46,44.78,4,1,82.53
47,44.81,4,1,83.04
48,44.84,4,1,83.54
49,44.87,4,1,84.04
50,44.9,4,1,84.52
51,44.93,4,1,85
52,44.95,4,1,85.47
53,44.98,4,1,85.93
54,45.01,4,1,86.39
55,45.03,4,1,86.83
56,45.06,4,1,87.27
57,45.09,4,1,87.71
58,45.11,4,1,88.13
59,45.13,4,1,88.55
60,45.16,4,1,88.96
61,45.18,4,1,89.37
62,45.21,4,1,89.77
63,45.23,4,1,90.16
64,45.25,4,1,90.55
65,45.27,4,1,90.93
66,45.29,4,1,91.31
67,45.32,4,1,91.68
68,45.34,4,1,92.04
69,45.36,4,1,92.4
70,45.38,4,1,92.76
71,45.4,4,1,93.11
72,45.42,4,1,93.46
73,45.44,4,1,93.8
74,45.46,4,1,94.14
75,45.47,4,1,94.47
76,45.49,4,1,94.8
77,45.51,4,1,95.12
78,45.53,4,1,95.44
79,45.55,4,1,95.76
80,45.57,4,1,96.07
81,45.58,4,1,96.38
82,45.6,4,1,96.69
83,45.62,4,1,96.99
84,45.63,4,1,97.29
85,45.65,4,1,97.58
86,45.67,4,1,97.87
87,45.68,4,1,98.16
88,45.7,4,1,98.44
89,45.71,4,1,98.72
90,45.73,4,1,99
1,37.85,5,0,38.24
2,38.17,5,0,39.49
3,38.4,5,0,40.74
4,38.57,5,0,41.97
5,38.72,5,0,43.16
6,38.85,5,0,44.31
7,38.96,5,0,45.41
8,39.06,5,0,46.47
9,39.15,5,0,47.47
10,39.23,5,0,48.43
11,39.31,5,0,49.36
12,39.38,5,0,50.24
13,39.45,5,0,51.09
14,39.51,5,0,51.9
15,39.57,5,0,52.69
16,39.63,5,0,53.44
17,39.68,5,0,54.17
18,39.74,5,0,54.88
19,39.79,5,0,55.56
20,39.83,5,0,56.21
21,39.88,5,0,56.85
22,39.92,5,0,57.47
23,39.96,5,0,58.07
24,40,5,0,58.65
25,40.04,5,0,59.22
26,40.08,5,0,59.77
27,40.11,5,0,60.3
28,40.15,5,0,60.83
29,40.18,5,0,61.33
30,40.22,5,0,61.83
31,40.25,5,0,62.31
32,40.28,5,0,62.79
33,40.31,5,0,63.25
34,40.34,5,0,63.7
35,40.37,5,0,64.14
36,40.4,5,0,64.57
37,40.42,5,0,64.99
38,40.45,5,0,65.41
39,40.48,5,0,65.81
40,40.5,5,0,66.21
41,40.53,5,0,66.6
42,40.55,5,0,66.98
43,40.58,5,0,67.35
44,40.6,5,0,67.72
45,40.62,5,0,68.08
46,40.64,5,0,68.43
47,40.67,5,0,68.78
48,40.69,5,0,69.12
49,40.71,5,0,69.46
50,40.73,5,0,69.79
51,40.75,5,0,70.11
52,40.77,5,0,70.43
53,40.79,5,0,70.74
54,40.81,5,0,71.05
55,40.83,5,0,71.35
56,40.85,5,0,71.65
