t,Surface,POI,
1,38.17,38.19,
2,38.6,39.4,
3,38.89,40.62,
4,39.12,41.85,
5,39.31,43.08,
6,39.47,44.28,
7,39.61,45.46,
8,39.74,46.61,
9,39.85,47.73,42.10673804
10,39.96,48.82,43.20505845
11,40.06,49.87,44.31263854
12,40.15,50.89,45.41794782
13,40.23,51.88,46.51252282
14,40.31,52.84,47.58766017
15,40.39,53.77,48.64302923
16,40.46,54.67,49.67468241
17,40.52,55.55,50.67873015
18,40.59,56.4,51.65614048
19,40.65,57.22,52.60485762
20,40.71,58.02,53.52658458
21,40.76,58.8,54.42200477
22,40.82,59.56,55.29251726
23,40.87,60.3,56.1399982
24,40.92,61.02,56.9607137
25,40.97,61.72,57.75799239
26,41.01,62.4,58.53273137
27,41.06,63.07,59.28617773
28,41.1,63.72,60.01971488
29,41.14,64.36,60.73590698
30,41.18,64.98,61.43470431
31,41.22,65.59,62.11352795
32,41.26,66.18,62.77543759
33,41.3,66.76,63.42032088
34,41.34,67.33,64.05066093
35,41.37,67.89,64.66982138
36,41.41,68.44,65.27162943
37,41.44,68.97,65.86158737
38,41.47,69.5,66.43627077
39,41.5,70.01,66.99907827
40,41.54,70.52,67.55026776
41,41.57,71.01,68.09414787
42,41.6,71.5,68.62582603
43,41.62,71.98,69.14584013
44,41.65,72.45,69.65852827
45,41.68,72.91,70.15658292
46,41.71,73.36,70.64704451
47,41.74,73.81,71.12854252
48,41.76,74.24,71.60537271
49,41.79,74.67,72.07338669
50,41.81,75.1,72.53142764
51,41.84,75.51,72.97956924
52,41.86,75.92,73.42108304
53,41.89,76.33,73.85729164
54,41.91,76.73,74.28615402
55,41.93,77.12,74.70569915
56,41.96,77.5,75.12170748
57,41.98,77.88,75.5289733
58,42,78.26,75.93226758
59,42.02,78.63,76.32898564
60,42.04,78.99,76.7236774
61,42.07,79.35,77.11315976
62,42.09,79.7,77.48853546
63,42.11,80.05,77.86275802
64,42.13,80.39,78.2356948
65,42.15,80.73,78.60257482
66,42.17,81.07,78.96311439
67,42.18,81.4,79.3153867
68,42.2,81.72,79.66579114
69,42.22,82.05,80.01472928
70,42.24,82.36,80.35506122
71,42.26,82.68,80.69265583
72,42.28,82.99,81.02773047
73,42.29,83.29,81.36242195
74,42.31,83.6,81.68635199
75,42.33,83.89,82.0072905
76,42.34,84.19,82.32374538
77,42.36,84.48,82.64078972
78,42.38,84.77,82.95193203
79,42.39,85.05,83.26262119
80,42.41,85.33,83.56709149
81,42.43,85.61,83.86309189
82,42.44,85.89,84.16578642
83,42.46,86.16,84.45791477
84,42.47,86.43,84.74821946
85,42.49,86.69,85.03860519
86,42.5,86.96,85.32148261
87,42.52,87.22,85.60024481
88,42.53,87.47,85.88519641
89,42.55,87.73,86.16166338
90,42.56,87.98,86.43749668
91,42.57,88.23,86.70501113
92,42.59,88.48,86.97546555
93,42.6,88.72,87.24021688
94,42.61,88.96,87.50325876
95,42.63,89.2,87.76237332
96,42.64,89.44,88.02021316
97,42.65,89.67,88.27931667
98,42.67,89.9,88.5291803
99,42.68,90.13,88.78029286
100,42.69,90.36,89.03024859
101,42.71,90.58,89.27086865
102,42.72,90.81,89.51631866
103,42.73,91.03,89.75974973
104,42.74,91.25,89.99351725
105,42.75,91.46,90.22973106
106,42.77,91.68,90.46747011
107,42.78,91.89,90.69457666
108,42.79,92.1,90.92746735
109,42.8,92.31,91.15859332
110,42.81,92.52,91.38644408
111,42.82,92.72,91.6080907
112,42.84,92.92,91.82622263
113,42.85,93.13,92.04598665
114,42.86,93.33,92.26711749
115,42.87,93.52,92.48266682
116,42.88,93.72,92.69796931
117,42.89,93.91,92.9094808
118,42.9,94.11,93.1138487
119,42.91,94.3,93.3243102
120,42.92,94.49,93.5354938
121,42.93,94.67,93.73974749
122,42.94,94.86,93.94213331
123,42.95,95.04,94.14091233
124,42.96,95.23,94.34272342
125,42.97,95.41,95.31041308
126,42.98,95.59,95.50178325
127,42.99,95.77,95.68952452
128,43,95.94,95.87676843
129,43.01,96.12,96.06122711
130,43.02,96.29,96.24184689
131,43.03,96.47,96.42297877
132,43.04,96.64,96.60046701
133,43.05,96.81,96.78096522
134,43.06,96.98,96.95780873
135,43.07,97.14,97.13414752
136,43.08,97.31,97.3076495
137,43.09,97.47,97.47730153
138,43.09,97.64,97.64743986
139,43.1,97.8,97.81391983
140,43.11,97.96,97.98777549
141,43.12,98.12,98.15242811
142,43.13,98.28,98.31449813
143,43.14,98.44,98.47688867
144,43.15,98.59,98.63894395
145,43.16,98.75,98.80066766
146,43.16,98.9,98.95851195
147,43.17,99.05,99.11680939
148,43.18,99.2,99.27581787
149,43.19,99.36,99.42870327
150,43.2,99.5,99.57658558
151,43.2,99.65,99.7309078
152,43.21,99.8,99.88058061
153,43.22,99.93,100.0348881
154,43.23,100,100.1808473
155,43.24,100,100.3198286
156,43.24,100,100.4351356
157,43.25,100,100.5035947
158,43.26,100,100.5409153
159,43.27,100,100.5535814
160,43.27,100,100.5631234
161,43.28,100,100.5751117
162,43.28,100,100.5905557
163,43.29,100,100.5993977
164,43.29,100,100.6094776
165,43.3,100,100.616389
166,43.3,100,100.6245237
167,43.3,100,100.6294826
168,43.31,100,100.6356572
169,43.31,100,100.6430182
170,43.31,100,100.6415445
171,43.31,100,100.6447497
172,43.32,100,100.6491413
173,43.32,100,100.6489939
174,43.32,100,100.6435487
175,43.32,100,100.6427677
176,43.33,100,100.6431508
177,43.33,100,100.6389656
178,43.33,100,100.6295047
179,43.33,100,100.6247005
180,43.33,100,100.6210753
