t,surface,3mm,diameter
1,38.76,38.14,3
2,39.36,39.3,3
3,39.76,40.47,3
4,40.07,41.66,3
5,40.33,42.86,3
6,40.55,44.06,3
7,40.74,45.26,3
8,40.91,46.45,3
9,41.06,47.62,3
10,41.2,48.77,3
11,41.33,49.91,3
12,41.45,51.01,3
13,41.56,52.1,3
14,41.66,53.16,3
15,41.76,54.2,3
16,41.85,55.22,3
17,41.94,56.21,3
18,42.02,57.18,3
19,42.1,58.12,3
20,42.18,59.05,3
21,42.25,59.95,3
22,42.32,60.83,3
23,42.39,61.69,3
24,42.45,62.54,3
25,42.51,63.36,3
26,42.57,64.17,3
27,42.63,64.96,3
28,42.69,65.74,3
29,42.74,66.49,3
30,42.79,67.24,3
31,42.84,67.96,3
32,42.89,68.68,3
33,42.94,69.38,3
34,42.99,70.06,3
35,43.03,70.74,3
36,43.08,71.4,3
37,43.12,72.05,3
38,43.16,72.68,3
39,43.21,73.31,3
40,43.25,73.92,3
41,43.28,74.53,3
42,43.32,75.12,3
43,43.36,75.71,3
44,43.4,76.28,3
45,43.43,76.84,3
46,43.47,77.4,3
47,43.5,77.95,3
48,43.54,78.49,3
49,43.57,79.02,3
50,43.6,79.54,3
51,43.63,80.05,3
52,43.67,80.56,3
53,43.7,81.06,3
54,43.73,81.55,3
55,43.76,82.03,3
56,43.79,82.51,3
57,43.81,82.98,3
58,43.84,83.45,3
59,43.87,83.91,3
60,43.9,84.36,3
61,43.92,84.8,3
62,43.95,85.24,3
63,43.98,85.68,3
64,44,86.1,3
65,44.03,86.53,3
66,44.05,86.95,3
67,44.08,87.36,3
68,44.1,87.76,3
69,44.12,88.17,3
70,44.15,88.56,3
71,44.17,88.96,3
72,44.19,89.34,3
73,44.22,89.73,3
74,44.24,90.11,3
75,44.26,90.48,3
76,44.28,90.85,3
77,44.3,91.21,3
78,44.32,91.58,3
79,44.34,91.93,3
80,44.36,92.29,3
81,44.39,92.64,3
82,44.4,92.98,3
83,44.42,93.32,3
84,44.44,93.66,3
85,44.46,94,3
86,44.48,94.33,3
87,44.5,94.66,3
88,44.52,94.98,3
89,44.54,95.3,3
90,44.56,95.62,3
91,44.57,95.93,3
92,44.59,96.24,3
93,44.61,96.55,3
94,44.63,96.86,3
95,44.64,97.16,3
96,44.66,97.46,3
97,44.68,97.75,3
98,44.69,98.04,3
99,44.71,98.3,3
100,44.72,98.52,3
101,44.74,98.72,3
102,44.75,98.9,3
103,44.76,99.06,3
104,44.77,99.2,3
105,44.78,99.33,3
106,44.79,99.45,3
107,44.8,99.54,3
108,44.8,99.62,3
109,44.81,99.7,3
110,44.82,99.76,3
111,44.82,99.83,3
112,44.82,99.88,3
113,44.83,99.94,3
114,44.83,99.99,3
115,44.83,100,3
116,44.84,100,3
117,44.84,100,3
118,44.84,100,3
119,44.84,100,3
120,44.85,100,3
121,44.85,100,3
122,44.85,100,3
