t,surface,4mm
1,43.84,37.34
2,48.07,37.68
3,51.07,38.02
4,53.42,38.36
5,55.37,38.71
6,57.03,39.06
7,58.48,39.4
8,59.78,39.75
9,60.94,40.11
10,62.01,40.46
11,62.99,40.81
12,63.9,41.17
13,64.74,41.53
14,65.53,41.89
15,66.28,42.26
16,66.98,42.62
17,67.64,42.99
18,68.28,43.36
19,68.88,43.73
20,69.45,44.11
21,70,44.48
22,70.53,44.86
23,71.03,45.24
24,71.52,45.62
25,71.99,46.01
26,72.44,46.39
27,72.88,46.78
28,73.3,47.16
29,73.71,47.55
30,74.11,47.94
31,74.49,48.33
32,74.86,48.72
33,75.23,49.11
34,75.58,49.5
35,75.92,49.9
36,76.26,50.29
37,76.58,50.68
38,76.9,51.07
39,77.21,51.46
40,77.51,51.85
41,77.81,52.25
42,78.1,52.64
43,78.38,53.03
44,78.66,53.42
45,78.93,53.8
46,79.19,54.19
47,79.45,54.58
48,79.71,54.97
49,79.96,55.35
50,80.2,55.74
51,80.44,56.12
52,80.68,56.5
53,80.91,56.88
54,81.12,57.26
55,81.32,57.64
56,81.49,58.02
57,81.64,58.4
58,81.76,58.77
59,81.86,59.14
60,81.94,59.51
61,82.01,59.88
62,82.07,60.25
63,82.12,60.62
64,82.16,60.99
65,82.2,61.35
66,82.24,61.71
67,82.26,62.07
68,82.29,62.43
69,82.31,62.79
70,82.33,63.14
71,82.35,63.5
72,82.37,63.85
73,82.39,64.2
74,82.4,64.55
75,82.41,64.89
76,82.43,65.23
77,82.44,65.57
78,82.45,65.91
79,82.45,66.25
80,82.46,66.58
81,82.47,66.92
82,82.48,67.24
83,82.48,67.57
84,82.49,67.9
85,82.49,68.22
86,82.5,68.54
87,82.5,68.85
88,82.51,69.17
89,82.51,69.48
90,82.51,69.79
91,82.52,70.1
92,82.52,70.4
93,82.52,70.7
94,82.53,71
95,82.53,71.3
96,82.53,71.59
97,82.53,71.88
98,82.54,72.17
99,82.54,72.46
100,82.54,72.74
101,82.54,73.02
102,82.54,73.3
103,82.54,73.58
104,82.54,73.85
105,82.55,74.12
106,82.55,74.39
107,82.55,74.65
108,82.55,74.92
109,82.55,75.18
110,82.55,75.43
111,82.55,75.69
112,82.55,75.94
113,82.55,76.19
114,82.55,76.44
115,82.56,76.68
116,82.56,76.92
117,82.56,77.16
118,82.56,77.4
119,82.56,77.64
120,82.56,77.87
121,82.56,78.1
122,82.56,78.33
123,82.56,78.55
124,82.56,78.77
125,82.56,78.99
126,82.56,79.21
127,82.56,79.43
128,82.56,79.64
129,82.56,79.85
130,82.56,80.06
131,82.56,80.27
132,82.56,80.47
133,82.56,80.68
134,82.56,80.88
135,82.56,81.08
136,82.56,81.27
137,82.56,81.47
138,82.56,81.66
139,82.56,81.85
140,82.56,82.04
141,82.56,82.22
142,82.56,82.4
143,82.56,82.59
144,82.56,82.77
145,82.56,82.94
146,82.56,83.12
147,82.56,83.29
148,82.56,83.47
149,82.56,83.64
150,82.56,83.8
151,82.56,83.97
152,82.56,84.14
153,82.56,84.3
154,82.57,84.46
155,82.57,84.62
156,82.57,84.78
157,82.57,84.93
158,82.57,85.09
159,82.57,85.24
160,82.57,85.39
161,82.57,85.54
162,82.57,85.69
163,82.57,85.83
164,82.57,85.98
165,82.57,86.12
166,82.57,86.26
167,82.57,86.4
168,82.57,86.54
169,82.57,86.67
170,82.57,86.81
171,82.57,86.94
172,82.57,87.08
173,82.57,87.21
174,82.57,87.34
175,82.57,87.46
176,82.57,87.59
177,82.57,87.71
178,82.57,87.84
179,82.57,87.96
180,82.57,88.08
1,38.76,37.81
2,39.36,38.62
3,39.76,39.44
4,40.07,40.28
5,40.33,41.12
6,40.55,41.97
7,40.74,42.82
8,40.91,43.69
9,41.06,44.55
10,41.2,45.42
11,41.33,46.28
12,41.45,47.15
13,41.56,48
14,41.66,48.86
15,41.76,49.7
16,41.85,50.54
17,41.94,51.37
18,42.02,52.19
19,42.1,52.99
20,42.18,53.79
21,42.25,54.58
22,42.32,55.36
23,42.39,56.12
24,42.45,56.88
25,42.51,57.63
26,42.57,58.36
27,42.63,59.08
28,42.69,59.8
29,42.74,60.5
30,42.79,61.19
31,42.84,61.87
32,42.89,62.55
33,42.94,63.21
34,42.99,63.86
35,43.03,64.51
36,43.08,65.14
37,43.12,65.77
38,43.16,66.38
39,43.21,66.99
40,43.25,67.59
41,43.28,68.18
42,43.32,68.77
43,43.36,69.34
44,43.4,69.91
45,43.43,70.47
46,43.47,71.02
47,43.5,71.57
48,43.54,72.11
49,43.57,72.64
50,43.6,73.16
51,43.63,73.68
52,43.67,74.19
53,43.7,74.7
54,43.73,75.19
55,43.76,75.69
56,43.79,76.17
57,43.81,76.65
58,43.84,77.13
59,43.87,77.6
60,43.9,78.06
61,43.92,78.52
62,43.95,78.97
63,43.98,79.42
64,44,79.86
65,44.03,80.3
66,44.05,80.73
67,44.08,81.16
68,44.1,81.58
69,44.12,82
