t,Surface,vessel,distance,input,POI
1,39.24,3,0,40,38.82
2,39.95,3,0,40,40.60
3,40.43,3,0,40,42.39
4,40.79,3,0,40,44.19
5,41.09,3,0,40,45.99
6,41.34,3,0,40,47.76
7,41.56,3,0,40,49.50
8,41.76,3,0,40,51.21
9,41.94,3,0,40,52.87
10,42.10,3,0,40,54.48
11,42.25,3,0,40,56.05
12,42.39,3,0,40,57.56
13,42.52,3,0,40,59.04
14,42.64,3,0,40,60.46
15,42.75,3,0,40,61.85
16,42.86,3,0,40,63.19
17,42.96,3,0,40,64.49
18,43.06,3,0,40,65.75
19,43.15,3,0,40,66.98
20,43.24,3,0,40,68.17
21,43.32,3,0,40,69.33
22,43.40,3,0,40,70.46
23,43.48,3,0,40,71.55
24,43.56,3,0,40,72.62
25,43.63,3,0,40,73.66
26,43.70,3,0,40,74.67
27,43.76,3,0,40,75.66
28,43.83,3,0,40,76.62
29,43.89,3,0,40,77.56
30,43.95,3,0,40,78.48
31,44.01,3,0,40,79.37
32,44.07,3,0,40,80.25
33,44.12,3,0,40,81.10
34,44.17,3,0,40,81.94
35,44.23,3,0,40,82.76
36,44.28,3,0,40,83.56
37,44.33,3,0,40,84.34
38,44.37,3,0,40,85.11
39,44.42,3,0,40,85.86
40,44.47,3,0,40,86.59
41,44.51,3,0,40,87.32
42,44.55,3,0,40,88.02
43,44.60,3,0,40,88.72
44,44.64,3,0,40,89.40
45,44.68,3,0,40,90.07
46,44.72,3,0,40,90.72
47,44.76,3,0,40,91.37
48,44.79,3,0,40,92.00
49,44.83,3,0,40,92.62
50,44.87,3,0,40,93.23
51,44.90,3,0,40,93.83
52,44.94,3,0,40,94.42
53,44.97,3,0,40,95.01
54,45.01,3,0,40,95.58
55,45.04,3,0,40,96.14
56,45.07,3,0,40,96.69
57,45.10,3,0,40,97.22
58,45.13,3,0,40,97.68
59,45.15,3,0,40,98.08
60,45.17,3,0,40,98.43
61,45.19,3,0,40,98.73
62,45.21,3,0,40,98.98
63,45.22,3,0,40,99.20
64,45.23,3,0,40,99.39
65,45.24,3,0,40,99.54
66,45.25,3,0,40,99.67
67,45.25,3,0,40,99.78
68,45.26,3,0,40,99.88
69,45.26,3,0,40,99.97
70,45.26,3,0,40,100.00
71,45.27,3,0,40,100.00
72,45.27,3,0,40,100.00
73,45.27,3,0,40,100.00
74,45.28,3,0,40,100.00
75,45.28,3,0,40,100.00
76,45.28,3,0,40,100.00
77,45.28,3,0,40,100.00
78,45.28,3,0,40,100.00
79,45.28,3,0,40,100.00
80,45.28,3,0,40,100.00
81,45.29,3,0,40,100.00
82,45.29,3,0,40,100.00
83,45.29,3,0,40,100.00
84,45.29,3,0,40,100.00
85,45.29,3,0,40,100.00
86,45.29,3,0,40,100.00
87,45.29,3,0,40,100.00
88,45.29,3,0,40,100.00
89,45.29,3,0,40,100.00
90,45.29,3,0,40,100.00
91,45.29,3,0,40,100.00
92,45.29,3,0,40,100.00
93,45.29,3,0,40,100.00
94,45.29,3,0,40,100.00
95,45.29,3,0,40,100.00
96,45.29,3,0,40,100.00
