t,Surface,vessel,distance
1,38.47,5,1
2,38.95,5,1
3,39.27,5,1
4,39.51,5,1
5,39.71,5,1
6,39.88,5,1
7,40.02,5,1
8,40.15,5,1
9,40.26,5,1
10,40.37,5,1
11,40.46,5,1
12,40.55,5,1
13,40.63,5,1
14,40.71,5,1
15,40.78,5,1
16,40.85,5,1
17,40.91,5,1
18,40.97,5,1
19,41.03,5,1
20,41.08,5,1
21,41.13,5,1
22,41.18,5,1
23,41.23,5,1
24,41.28,5,1
25,41.32,5,1
26,41.36,5,1
27,41.4,5,1
28,41.44,5,1
29,41.48,5,1
30,41.52,5,1
31,41.56,5,1
32,41.59,5,1
33,41.62,5,1
34,41.66,5,1
35,41.69,5,1
36,41.72,5,1
37,41.75,5,1
38,41.78,5,1
39,41.81,5,1
40,41.84,5,1
41,41.86,5,1
42,41.89,5,1
43,41.92,5,1
44,41.94,5,1
45,41.97,5,1
46,41.99,5,1
47,42.01,5,1
48,42.04,5,1
49,42.06,5,1
50,42.08,5,1
51,42.1,5,1
52,42.13,5,1
53,42.15,5,1
54,42.17,5,1
55,42.19,5,1
56,42.21,5,1
57,42.23,5,1
58,42.25,5,1
59,42.27,5,1
60,42.28,5,1
61,42.3,5,1
62,42.32,5,1
63,42.34,5,1
64,42.36,5,1
65,42.37,5,1
66,42.39,5,1
67,42.41,5,1
68,42.42,5,1
69,42.44,5,1
70,42.45,5,1
71,42.47,5,1
72,42.48,5,1
73,42.5,5,1
74,42.52,5,1
75,42.53,5,1
76,42.54,5,1
77,42.56,5,1
78,42.57,5,1
79,42.59,5,1
80,42.6,5,1
81,42.61,5,1
82,42.63,5,1
83,42.64,5,1
84,42.65,5,1
85,42.67,5,1
86,42.68,5,1
87,42.69,5,1
88,42.7,5,1
89,42.72,5,1
90,42.73,5,1
91,42.74,5,1
92,42.75,5,1
93,42.76,5,1
94,42.78,5,1
95,42.79,5,1
96,42.8,5,1
97,42.81,5,1
98,42.82,5,1
99,42.83,5,1
100,42.84,5,1
101,42.85,5,1
102,42.86,5,1
103,42.87,5,1
104,42.88,5,1
105,42.9,5,1
106,42.91,5,1
107,42.92,5,1
108,42.93,5,1
109,42.94,5,1
110,42.94,5,1
111,42.95,5,1
112,42.96,5,1
113,42.97,5,1
114,42.98,5,1
115,42.99,5,1
116,43,5,1
117,43.01,5,1
118,43.02,5,1
119,43.03,5,1
120,43.04,5,1
121,43.05,5,1
122,43.05,5,1
123,43.06,5,1
124,43.07,5,1
125,43.08,5,1
126,43.09,5,1
127,43.1,5,1
128,43.1,5,1
129,43.11,5,1
130,43.12,5,1
131,43.13,5,1
132,43.14,5,1
133,43.14,5,1
134,43.15,5,1
135,43.16,5,1
136,43.17,5,1
137,43.18,5,1
138,43.18,5,1
139,43.19,5,1
140,43.2,5,1
141,43.21,5,1
142,43.21,5,1
