t,surface,vessel,distance,input,POI
1,38.47,5.5,1,35,38.52
2,38.95,5.5,1,35,40.08
3,39.27,5.5,1,35,41.64
4,39.51,5.5,1,35,43.18
5,39.71,5.5,1,35,44.67
6,39.88,5.5,1,35,46.09
7,40.02,5.5,1,35,47.45
8,40.15,5.5,1,35,48.74
9,40.26,5.5,1,35,49.96
10,40.37,5.5,1,35,51.12
11,40.46,5.5,1,35,52.23
12,40.55,5.5,1,35,53.29
13,40.63,5.5,1,35,54.29
14,40.71,5.5,1,35,55.26
15,40.78,5.5,1,35,56.18
16,40.85,5.5,1,35,57.06
17,40.91,5.5,1,35,57.91
18,40.97,5.5,1,35,58.73
19,41.03,5.5,1,35,59.51
20,41.08,5.5,1,35,60.27
21,41.13,5.5,1,35,61.00
22,41.18,5.5,1,35,61.71
23,41.23,5.5,1,35,62.39
24,41.28,5.5,1,35,63.06
25,41.32,5.5,1,35,63.70
26,41.36,5.5,1,35,64.32
27,41.40,5.5,1,35,64.92
28,41.44,5.5,1,35,65.51
29,41.48,5.5,1,35,66.08
30,41.52,5.5,1,35,66.63
31,41.56,5.5,1,35,67.17
32,41.59,5.5,1,35,67.70
33,41.62,5.5,1,35,68.21
34,41.66,5.5,1,35,68.71
35,41.69,5.5,1,35,69.20
36,41.72,5.5,1,35,69.68
37,41.75,5.5,1,35,70.15
38,41.78,5.5,1,35,70.60
39,41.81,5.5,1,35,71.05
40,41.84,5.5,1,35,71.48
41,41.86,5.5,1,35,71.91
42,41.89,5.5,1,35,72.32
43,41.92,5.5,1,35,72.73
44,41.94,5.5,1,35,73.13
45,41.97,5.5,1,35,73.53
46,41.99,5.5,1,35,73.91
47,42.01,5.5,1,35,74.29
48,42.04,5.5,1,35,74.66
49,42.06,5.5,1,35,75.02
50,42.08,5.5,1,35,75.38
51,42.10,5.5,1,35,75.73
52,42.13,5.5,1,35,76.07
53,42.15,5.5,1,35,76.41
54,42.17,5.5,1,35,76.74
55,42.19,5.5,1,35,77.07
56,42.21,5.5,1,35,77.39
57,42.23,5.5,1,35,77.71
58,42.25,5.5,1,35,78.02
59,42.27,5.5,1,35,78.32
60,42.28,5.5,1,35,78.62
61,42.30,5.5,1,35,78.92
62,42.32,5.5,1,35,79.21
63,42.34,5.5,1,35,79.50
64,42.36,5.5,1,35,79.78
65,42.37,5.5,1,35,80.06
66,42.39,5.5,1,35,80.34
67,42.41,5.5,1,35,80.61
68,42.42,5.5,1,35,80.88
69,42.44,5.5,1,35,81.14
70,42.45,5.5,1,35,81.40
71,42.47,5.5,1,35,81.65
72,42.48,5.5,1,35,81.91
73,42.50,5.5,1,35,82.16
74,42.52,5.5,1,35,82.40
75,42.53,5.5,1,35,82.64
76,42.54,5.5,1,35,82.88
77,42.56,5.5,1,35,83.12
78,42.57,5.5,1,35,83.35
79,42.59,5.5,1,35,83.58
80,42.60,5.5,1,35,83.81
81,42.61,5.5,1,35,84.04
82,42.63,5.5,1,35,84.26
83,42.64,5.5,1,35,84.48
84,42.65,5.5,1,35,84.69
85,42.67,5.5,1,35,84.91
86,42.68,5.5,1,35,85.12
87,42.69,5.5,1,35,85.33
88,42.70,5.5,1,35,85.53
89,42.72,5.5,1,35,85.74
90,42.73,5.5,1,35,85.94
91,42.74,5.5,1,35,86.14
92,42.75,5.5,1,35,86.34
93,42.76,5.5,1,35,86.53
94,42.78,5.5,1,35,86.73
95,42.79,5.5,1,35,86.92
96,42.80,5.5,1,35,87.11
97,42.81,5.5,1,35,87.29
98,42.82,5.5,1,35,87.48
99,42.83,5.5,1,35,87.66
100,42.84,5.5,1,35,87.84
101,42.85,5.5,1,35,88.02
102,42.86,5.5,1,35,88.20
103,42.87,5.5,1,35,88.37
104,42.88,5.5,1,35,88.55
105,42.90,5.5,1,35,88.72
106,42.91,5.5,1,35,88.89
107,42.92,5.5,1,35,89.06
108,42.93,5.5,1,35,89.22
109,42.94,5.5,1,35,89.39
110,42.94,5.5,1,35,89.55
111,42.95,5.5,1,35,89.71
112,42.96,5.5,1,35,89.87
113,42.97,5.5,1,35,90.03
114,42.98,5.5,1,35,90.19
115,42.99,5.5,1,35,90.35
116,43.00,5.5,1,35,90.50
117,43.01,5.5,1,35,90.65
118,43.02,5.5,1,35,90.81
119,43.03,5.5,1,35,90.96
120,43.04,5.5,1,35,91.10
121,43.05,5.5,1,35,91.25
122,43.05,5.5,1,35,91.40
123,43.06,5.5,1,35,91.54
124,43.07,5.5,1,35,91.69
125,43.08,5.5,1,35,91.83
126,43.09,5.5,1,35,91.97
127,43.10,5.5,1,35,92.11
128,43.10,5.5,1,35,92.25
129,43.11,5.5,1,35,92.39
130,43.12,5.5,1,35,92.52
131,43.13,5.5,1,35,92.66
132,43.14,5.5,1,35,92.79
133,43.14,5.5,1,35,92.92
134,43.15,5.5,1,35,93.06
135,43.16,5.5,1,35,93.19
136,43.17,5.5,1,35,93.32
137,43.18,5.5,1,35,93.44
138,43.18,5.5,1,35,93.57
139,43.19,5.5,1,35,93.70
140,43.20,5.5,1,35,93.82
141,43.21,5.5,1,35,93.95
142,43.21,5.5,1,35,94.07
143,43.22,5.5,1,35,94.19
144,43.23,5.5,1,35,94.32
145,43.23,5.5,1,35,94.44
146,43.24,5.5,1,35,94.56
147,43.25,5.5,1,35,94.67
148,43.26,5.5,1,35,94.79
149,43.26,5.5,1,35,94.91
150,43.27,5.5,1,35,95.02
151,43.28,5.5,1,35,95.14
152,43.28,5.5,1,35,95.25
153,43.29,5.5,1,35,95.37
154,43.30,5.5,1,35,95.48
155,43.30,5.5,1,35,95.59
156,43.31,5.5,1,35,95.70
157,43.32,5.5,1,35,95.81
