t,Surface,vessel,distance,input,POI
11,39.6,6,0,39.5,49.45
12,39.8,6,0,39.5,50.3
13,39.9,6,0,39.5,51.2125
14,40.2,6,0,39.5,51.8625
15,40.3,6,0,39.5,53.85
16,40,6,0,39.5,53.4875
17,40.1,6,0,39.5,54.5375
18,40.2,6,0,39.5,55.2125
19,40.4,6,0,39.5,56.075
20,40.4,6,0,39.5,57.0125
21,40.5,6,0,39.5,57.725
22,40.3,6,0,39.5,58.55
23,40.6,6,0,39.5,59.2625
24,40.7,6,0,39.5,59.75
25,40.6,6,0,39.5,60.2625
26,40.6,6,0,39.5,61.5
27,40.8,6,0,39.5,62.7375
28,40.7,6,0,39.5,63.35
29,40.7,6,0,39.5,64.1375
30,40.8,6,0,39.5,64.5875
31,40.7,6,0,39.5,65.025
32,40.8,6,0,39.5,65.8
33,40.7,6,0,39.5,66.425
34,41.1,6,0,39.5,66.675
35,41.2,6,0,39.5,67.4
36,41.1,6,0,39.5,67.9625
37,41.3,6,0,39.5,68.55
38,41.3,6,0,39.5,69.2875
39,40.8,6,0,39.5,69.9
40,41.2,6,0,39.5,70.5375
41,41.5,6,0,39.5,70.975
42,41.3,6,0,39.5,71.55
43,41.4,6,0,39.5,71.925
44,41.5,6,0,39.5,72.3375
45,41.7,6,0,39.5,72.8625
46,41.6,6,0,39.5,73.2875
47,41.3,6,0,39.5,73.825
48,41.3,6,0,39.5,74.4375
49,41.6,6,0,39.5,74.7
50,41.5,6,0,39.5,75.2375
51,41.5,6,0,39.5,75.6375
52,41.6,6,0,39.5,76.075
53,41.6,6,0,39.5,76.475
54,41.4,6,0,39.5,76.725
55,41.1,6,0,39.5,77.0875
56,41.1,6,0,39.5,77.325
57,41,6,0,39.5,77.825
58,41.2,6,0,39.5,78.3
59,41.6,6,0,39.5,78.75
60,41.8,6,0,39.5,79.1875
61,41.6,6,0,39.5,79.55
62,41.8,6,0,39.5,79.8625
63,41.5,6,0,39.5,80.1625
64,41.2,6,0,39.5,80.45
65,41.1,6,0,39.5,80.8375
66,40.9,6,0,39.5,80.925
67,41.2,6,0,39.5,80.9
68,41.3,6,0,39.5,81.1875
69,41.2,6,0,39.5,81.5875
70,41.1,6,0,39.5,81.9125
71,41.1,6,0,39.5,82.1875
72,41.2,6,0,39.5,82.2375
73,41.7,6,0,39.5,82.3625
74,41.6,6,0,39.5,82.65
75,41.7,6,0,39.5,82.7875
76,42,6,0,39.5,82.9875
77,42,6,0,39.5,83.2875
78,41.9,6,0,39.5,83.625
79,41.8,6,0,39.5,84.275
80,41.9,6,0,39.5,84.6
81,41.7,6,0,39.5,84.725
82,41.6,6,0,39.5,84.9
83,41.4,6,0,39.5,85
84,41.7,6,0,39.5,85.275
85,41.8,6,0,39.5,85.575
86,41.8,6,0,39.5,86.025
87,41.8,6,0,39.5,86.2375
88,41.6,6,0,39.5,86.3625
89,41.6,6,0,39.5,86.625
90,41.7,6,0,39.5,86.7875
91,41.7,6,0,39.5,86.975
92,41.5,6,0,39.5,87.25
93,41.7,6,0,39.5,87.5
94,41.9,6,0,39.5,87.675
95,41.6,6,0,39.5,87.7125
96,41.6,6,0,39.5,87.8625
97,41.5,6,0,39.5,88.375
98,41.7,6,0,39.5,88.7625
99,41.9,6,0,39.5,88.8875
100,41.7,6,0,39.5,89.3875
101,41.8,6,0,39.5,89.9625
102,41.9,6,0,39.5,90.05
103,41.5,6,0,39.5,90.15
104,41.9,6,0,39.5,90.3625
105,42,6,0,39.5,90.4625
106,41.9,6,0,39.5,90.6125
107,41.6,6,0,39.5,90.6625
108,41.8,6,0,39.5,90.675
109,42,6,0,39.5,90.7125
110,41.8,6,0,39.5,91.3625
111,41.5,6,0,39.5,91.75
112,41.7,6,0,39.5,92.2125
113,42,6,0,39.5,92.6625
114,42,6,0,39.5,92.6625
115,42,6,0,39.5,92.875
116,41.6,6,0,39.5,93.05
117,41.5,6,0,39.5,93.1875
118,41.6,6,0,39.5,93.45
