t,Surface,vessel,distance,input,POI
11,38.16,8,0,36.5,47.9125
12,38.31,8,0,36.5,48.2
13,38.75,8,0,36.5,48.8
14,39.09,8,0,36.5,49.05
15,39.31,8,0,36.5,49.5125
16,39.31,8,0,36.5,49.95
17,39.38,8,0,36.5,50.1625
18,39.58,8,0,36.5,50.575
19,39.5,8,0,36.5,50.7
20,39.68,8,0,36.5,51.0625
21,39.61,8,0,36.5,51.725
22,39.78,8,0,36.5,51.9875
23,39.93,8,0,36.5,52.15
24,40.03,8,0,36.5,52.5875
25,40.16,8,0,36.5,53.2625
26,40.05,8,0,36.5,53.4125
27,40.14,8,0,36.5,53.6875
28,40.16,8,0,36.5,53.875
29,40.38,8,0,36.5,54.2375
30,40.2,8,0,36.5,54.4875
31,40.35,8,0,36.5,54.925
32,40.45,8,0,36.5,55.1375
33,40.38,8,0,36.5,55.475
34,40.46,8,0,36.5,55.675
35,40.56,8,0,36.5,55.875
36,40.75,8,0,36.5,56.2
37,40.89,8,0,36.5,56.35
38,40.89,8,0,36.5,56.5875
39,41.13,8,0,36.5,56.9125
40,41.08,8,0,36.5,57.125
41,40.84,8,0,36.5,57.175
42,40.96,8,0,36.5,57.5625
43,40.99,8,0,36.5,57.7875
44,41.06,8,0,36.5,58
45,40.99,8,0,36.5,58.2625
46,41.03,8,0,36.5,58.55
47,41.1,8,0,36.5,58.6375
48,41.33,8,0,36.5,58.825
49,41.24,8,0,36.5,59.2625
50,41.14,8,0,36.5,59.35
51,41.3,8,0,36.5,59.5625
52,41.19,8,0,36.5,59.7875
53,41.24,8,0,36.5,59.9875
54,41.3,8,0,36.5,60.1125
55,41.31,8,0,36.5,60.2625
56,41.39,8,0,36.5,60.5
57,41.48,8,0,36.5,60.5875
58,41.45,8,0,36.5,61.025
59,41.45,8,0,36.5,61.1875
60,41.49,8,0,36.5,61.1
61,41.58,8,0,36.5,61.2625
62,41.51,8,0,36.5,61.3875
63,41.68,8,0,36.5,62.225
64,41.55,8,0,36.5,62.375
65,41.6,8,0,36.5,62.3875
66,41.63,8,0,36.5,62.425
67,41.56,8,0,36.5,62.6
68,41.69,8,0,36.5,62.7875
69,41.71,8,0,36.5,62.85
70,41.64,8,0,36.5,63
71,41.54,8,0,36.5,63.0375
72,41.39,8,0,36.5,62.9
73,41.44,8,0,36.5,62.675
74,41.36,8,0,36.5,63.3625
75,41.26,8,0,36.5,63.5375
76,41.33,8,0,36.5,63.725
77,41.51,8,0,36.5,63.8
78,41.54,8,0,36.5,63.9625
79,41.53,8,0,36.5,64.2375
80,41.5,8,0,36.5,64.4125
81,41.5,8,0,36.5,64.575
82,41.76,8,0,36.5,64.8625
83,41.58,8,0,36.5,64.7875
84,41.79,8,0,36.5,65.25
85,41.76,8,0,36.5,65.525
86,41.68,8,0,36.5,65.3375
87,41.69,8,0,36.5,65.375
88,41.7,8,0,36.5,65.2
89,41.7,8,0,36.5,65.3125
90,41.75,8,0,36.5,65.5
91,41.76,8,0,36.5,65.5
92,41.9,8,0,36.5,65.6875
93,41.9,8,0,36.5,65.75
94,41.88,8,0,36.5,65.8625
95,41.91,8,0,36.5,65.9125
96,41.88,8,0,36.5,66.2375
97,41.79,8,0,36.5,66
98,41.81,8,0,36.5,66.2125
99,41.7,8,0,36.5,66.35
100,41.9,8,0,36.5,66.5625
101,42.13,8,0,36.5,66.8875
102,42.14,8,0,36.5,67.25
103,42.19,8,0,36.5,66.7875
104,42.25,8,0,36.5,66.8625
105,42,8,0,36.5,66.9875
106,41.89,8,0,36.5,67.2
107,42.19,8,0,36.5,67.2875
108,42.14,8,0,36.5,67.3875
109,41.96,8,0,36.5,67.4375
110,41.91,8,0,36.5,67.8625
111,42.29,8,0,36.5,68.5875
112,42.24,8,0,36.5,68.3375
113,42.2,8,0,36.5,68.5125
114,42.38,8,0,36.5,68.85
115,42.38,8,0,36.5,68.9625
116,42.33,8,0,36.5,68.55
117,42.35,8,0,36.5,68.675
118,42.34,8,0,36.5,68.875
119,42.34,8,0,36.5,68.95
120,42.38,8,0,36.5,69.0375
121,42.41,8,0,36.5,69.4375
122,42.38,8,0,36.5,69.45
123,42.45,8,0,36.5,69.5625
124,42.36,8,0,36.5,69.775
125,42.5,8,0,36.5,68.725
126,42.53,8,0,36.5,69.5375
127,42.29,8,0,36.5,69.525
128,42.3,8,0,36.5,70.1875
129,42.34,8,0,36.5,69.8625
130,42.39,8,0,36.5,69.925
131,42.25,8,0,36.5,70.0375
132,42.24,8,0,36.5,69.9125
133,42.46,8,0,36.5,70.0875
134,42.44,8,0,36.5,70.15
135,42.44,8,0,36.5,70.175
136,42.5,8,0,36.5,70.075
137,42.46,8,0,36.5,70.125
138,42.5,8,0,36.5,70.175
139,42.41,8,0,36.5,70.2125
140,42.53,8,0,36.5,70.45
141,42.55,8,0,36.5,70.55
142,42.46,8,0,36.5,70.525
143,42.19,8,0,36.5,70.475
144,42.25,8,0,36.5,70.6125
145,42.41,8,0,36.5,70.8625
146,42.39,8,0,36.5,70.95
147,42.41,8,0,36.5,71.0625
148,42.44,8,0,36.5,71.1125
149,42.4,8,0,36.5,71.225
150,42.39,8,0,36.5,71.4
151,42.24,8,0,36.5,71.4625
152,42.44,8,0,36.5,71.55
153,42.55,8,0,36.5,71.5
154,42.54,8,0,36.5,71.425
155,42.66,8,0,36.5,71.475
156,42.64,8,0,36.5,71.15
157,42.51,8,0,36.5,71.2125
158,42.39,8,0,36.5,71.2
159,42.35,8,0,36.5,71.125
160,42.25,8,0,36.5,71.0125
161,42.33,8,0,36.5,71.0625
162,42.46,8,0,36.5,71.2625
163,42.53,8,0,36.5,71.4625
164,42.61,8,0,36.5,71.6875
165,42.41,8,0,36.5,71.475
166,42.33,8,0,36.5,71.4875
167,42.46,8,0,36.5,71.5875
168,42.48,8,0,36.5,71.575
169,42.46,8,0,36.5,71.7
170,42.6,8,0,36.5,71.8875
171,42.65,8,0,36.5,72.075
172,42.54,8,0,36.5,72.025
173,42.6,8,0,36.5,72.025
174,42.9,8,0,36.5,72.4625
175,42.94,8,0,36.5,72.4625
176,42.81,8,0,36.5,72.5625
177,42.83,8,0,36.5,72.7375
178,42.64,8,0,36.5,72.5125
179,42.74,8,0,36.5,72.475
180,42.98,8,0,36.5,72.75
