t,Surface,POI
1,37.95,38
2,38.29,39.02
3,38.52,40.05
4,38.7,41.08
5,38.84,42.1
6,38.97,43.11
7,39.08,44.09
8,39.17,45.04
9,39.26,45.96
10,39.34,46.84
11,39.42,47.7
12,39.48,48.53
13,39.55,49.33
14,39.61,50.1
15,39.66,50.85
16,39.71,51.57
17,39.76,52.27
18,39.81,52.95
19,39.86,53.6
20,39.9,54.24
21,39.94,54.85
22,39.98,55.45
23,40.02,56.03
24,40.05,56.6
25,40.09,57.15
26,40.12,57.69
27,40.15,58.21
28,40.19,58.72
29,40.22,59.21
30,40.25,59.7
31,40.27,60.17
32,40.3,60.63
33,40.33,61.08
34,40.35,61.52
35,40.38,61.95
36,40.4,62.37
37,40.43,62.79
38,40.45,63.19
39,40.48,63.59
40,40.5,63.97
41,40.52,64.35
42,40.54,64.73
43,40.56,65.09
44,40.58,65.45
45,40.6,65.8
46,40.62,66.15
47,40.64,66.49
48,40.66,66.82
49,40.68,67.15
50,40.7,67.47
51,40.71,67.79
52,40.73,68.1
53,40.75,68.41
54,40.76,68.71
55,40.78,69
56,40.8,69.3
57,40.81,69.58
58,40.83,69.87
59,40.84,70.15
60,40.86,70.42
61,40.87,70.69
62,40.89,70.96
63,40.9,71.22
64,40.92,71.48
65,40.93,71.73
66,40.94,71.99
67,40.96,72.23
68,40.97,72.48
69,40.98,72.72
70,40.99,72.96
71,41.01,73.19
72,41.02,73.43
73,41.03,73.66
74,41.04,73.88
75,41.06,74.1
76,41.07,74.32
77,41.08,74.54
78,41.09,74.76
79,41.1,74.97
80,41.11,75.18
81,41.12,75.39
82,41.14,75.59
83,41.15,75.79
84,41.16,76
85,41.17,76.19
86,41.18,76.39
87,41.19,76.58
88,41.2,76.77
89,41.21,76.96
90,41.22,77.15
91,41.23,77.33
92,41.24,77.52
93,41.25,77.7
94,41.26,77.88
95,41.26,78.05
96,41.27,78.23
97,41.28,78.4
98,41.29,78.57
99,41.3,78.74
100,41.31,78.91
101,41.32,79.08
102,41.33,79.24
103,41.34,79.41
104,41.34,79.57
105,41.35,79.73
106,41.36,79.89
107,41.37,80.04
108,41.38,80.2
109,41.38,80.35
110,41.39,80.51
111,41.4,80.66
112,41.41,80.81
113,41.42,80.95
114,41.42,81.1
115,41.43,81.25
116,41.44,81.39
117,41.45,81.53
118,41.45,81.67
119,41.46,81.81
120,41.47,81.95
121,41.47,82.09
122,41.48,82.23
123,41.49,82.36
124,41.5,82.5
125,41.5,82.63
126,41.51,82.76
127,41.52,82.89
128,41.52,83.02
129,41.53,83.15
130,41.54,83.28
131,41.54,83.4
132,41.55,83.53
133,41.55,83.65
134,41.56,83.78
135,41.57,83.9
136,41.57,84.02
137,41.58,84.14
138,41.59,84.26
