t,Surface,vessel,distance
1,37.95,6,1
2,38.29,6,1
3,38.52,6,1
4,38.7,6,1
5,38.84,6,1
6,38.97,6,1
7,39.08,6,1
8,39.17,6,1
9,39.26,6,1
10,39.34,6,1
11,39.42,6,1
12,39.48,6,1
13,39.55,6,1
14,39.61,6,1
15,39.66,6,1
16,39.71,6,1
17,39.76,6,1
18,39.81,6,1
19,39.86,6,1
20,39.9,6,1
21,39.94,6,1
22,39.98,6,1
23,40.02,6,1
24,40.05,6,1
25,40.09,6,1
26,40.12,6,1
27,40.15,6,1
28,40.19,6,1
29,40.22,6,1
30,40.25,6,1
31,40.27,6,1
32,40.3,6,1
33,40.33,6,1
34,40.35,6,1
35,40.38,6,1
36,40.4,6,1
37,40.43,6,1
38,40.45,6,1
39,40.48,6,1
40,40.5,6,1
41,40.52,6,1
42,40.54,6,1
43,40.56,6,1
44,40.58,6,1
45,40.6,6,1
46,40.62,6,1
47,40.64,6,1
48,40.66,6,1
49,40.68,6,1
50,40.7,6,1
51,40.71,6,1
52,40.73,6,1
53,40.75,6,1
54,40.76,6,1
55,40.78,6,1
56,40.8,6,1
57,40.81,6,1
58,40.83,6,1
59,40.84,6,1
60,40.86,6,1
61,40.87,6,1
62,40.89,6,1
63,40.9,6,1
64,40.92,6,1
65,40.93,6,1
66,40.94,6,1
67,40.96,6,1
68,40.97,6,1
69,40.98,6,1
70,40.99,6,1
71,41.01,6,1
72,41.02,6,1
73,41.03,6,1
74,41.04,6,1
75,41.06,6,1
76,41.07,6,1
77,41.08,6,1
78,41.09,6,1
79,41.1,6,1
80,41.11,6,1
81,41.12,6,1
82,41.14,6,1
83,41.15,6,1
84,41.16,6,1
85,41.17,6,1
86,41.18,6,1
87,41.19,6,1
88,41.2,6,1
89,41.21,6,1
90,41.22,6,1
91,41.23,6,1
92,41.24,6,1
93,41.25,6,1
94,41.26,6,1
95,41.26,6,1
96,41.27,6,1
97,41.28,6,1
98,41.29,6,1
99,41.3,6,1
100,41.31,6,1
101,41.32,6,1
102,41.33,6,1
103,41.34,6,1
104,41.34,6,1
105,41.35,6,1
106,41.36,6,1
107,41.37,6,1
108,41.38,6,1
109,41.38,6,1
110,41.39,6,1
111,41.4,6,1
112,41.41,6,1
113,41.42,6,1
114,41.42,6,1
115,41.43,6,1
116,41.44,6,1
117,41.45,6,1
118,41.45,6,1
119,41.46,6,1
